pubmed_id	abstrct
77176	The mesencephalic and diencephalic afferent connections to the superior colliculus and the central gray substance in the cat were examined by means of the retrograde transport of horseradish peroxidase (HRP). After deep collicular injections numerous labeled cells were consistently found in the parabigeminal nucleus, the mesencephalic reticular formation, substantia nigra pars reticulata, the nucleus of posterior commissure, the pretectal area, zona incerta, and the ventral nucleus of the lateral geniculate body. A smaller number of cells was found in the inferior colluculus, the nucleus of the lateral lemniscus, the central gray substance, nucleus reticularis thalami, the anterior hypothalamic area, and, in some cases, in the contralateral superior colliculus, Forel's field, and the ventromedial hypothalamic nucleus. Only the parabigeminal nucleus and the pretectal area showed labeled cells following injections in the superficial layers of the superior colliculus. In the cats submitted to injections in the central gray substance, labeled cells were consistently found in the contralateral superior colliculus, the mesencephalic reticular formation, substantia nigra parts reticulata, zona incerta and various hypothalamic areas, especially the ventromedial nucleus. In some cases, HRP-positive cells were seen in the nucleus of posterior commissure, the pretectal area, Forel's field, and nucleus reticularis thalami. A large injection in the mediodorsal part of the caudal mesencephalic reticular formation, which included the superior colliculus and the central gray substance, resulted in numerous labeled cells in nucleus reticularis thalami. The findings are discussed with respect to the suggested functional division of the superior colliculus into deep and superficial layers. Furthermore, the possible implications of labeled cells in zona incerta and the reticular thalamic nucleus are briefly discussed.
77865	The ascending projections of serotonin neurons of the midbrain raphe were analyzed in the rat using the autoradiographic tracing method. Axons of raphe serotonin neurons ascend in the ventral tegmental area and enter the medial forebrain bundle. A number of fibers leave the major group to ascend along the fasciculus retroflexus. Some fibers enter the habenula but the majority turn rostrally in the internal medullary lamina of the thalamus to innervate dorsal thalamus. Two additional large projections leave the medial forebrain bundle in the hypothalamus; the ansa peduncularis-ventral amygdaloid bundle system turns laterally through the internal capsule into the striatal complex, amygdala and the external capsule to reach lateral and posterior cortex, and another system of fibers turns medially to innervate medial hypothalamus and median eminence and form a contrelateral projection via the supraoptic commissures. Rostrally the major group in the medial forebrain bundle divides into several components: fibers entering the stria medullaris to terminate in thalamus; fibers entering the stria terminalis to terminate in the amygdala; fibers traversing the fornix to the hippocampus; fibers running through septum to enter the cingulum and terminate in dorsal and medial cortex and in hippocampus; fibers entering the external capsule to innervate rostral and lateral cortex; and fibers continuing forward in the medial olfactory stria to terminate in the anterior olfactory nucleus and olfactory bulb.
80249	The HRP method has been used to identify all the brain stem nuclei, which may project to lobule VI and/or VII of the posterior cerebellar vermis. Three tentative degrees of labeling of the different structures have been assigned: 'massive', 'clear' and 'discrete'. (1) Massive projections have been found to reach lobule VI and VII from the inferior olive and lobule VII only from the nucleus reticularis tegmenti pontis. (2) Clear projections have been found to reach lobule VI only from the pontine nuclei, the nucleus reticularis tegmenti pontis, the nucleus reticularis lateralis and the reticularis paramedianus; lobule VII only from the raphe nuclei, and both VI and VII from the perihypoglossal and vestibular nuclei. (3) Discrete projections have been found to reach lobule VI and VII from the deep cerebellar nuclei; lobule VI only from the nucleus tracti solitarii and nucleus cuneatus externus; lobule VII only from the nucleus lemnisci lateralis pars ventralis, the nuclei parabrachiales and the nucleus subcoeruleus.
84004	The distribution of spinocerebellar tract (SCT) neurons has been studied in the entire length of the spinal cord of the cat following injections of horseradish peroxidase into the cerebellum, and whether or not the axons of the labeled neurons crossed within the spinal cord was determined in cases with injections preceded by hemisections at the cervical levels. The SCTs were classified into the following crossed and uncrossed tracts according to the cell origin and the fiber course; the crossed SCTs originate from (1) the central cervical nucleus (the CCN-SCT), (2) lamina VIII neurons of the cervical to the lumbar cord (the lamina VIII-SCT), (3) spinal border cells (the border cell-SCT), (4) neurons in the medial lamina VII of the lumbar to the caudal spinal segments (the medial lamina VII-SCT), (5) ventral horn neurons (laminae VII and VIII) of the sacral and caudal segments (the ventral horn-SCT) and (6) dorsal horn neurons (lamina V) of the sacral and the caudal segments (the dorsal horn-SCT). The uncrossed tracts originate from (1) neurons of the medial lamina VI of C2 to T1 (the medial lamina VI-SCT of the cervical cord), (2) neurons in the central part of lamina VII of C6 to T1 (the central lamina VII-SCT of the cervical enlargement), (3) lamina V neurons of the lower cervical to the lumbar cord (the lamina V-SCT), (4) Clarke's column (the Clarke's column-SCT and (5) neurons in the medial lamina VI of L5 and L6 (the medial lamina VI-SCT of the lumbar cord). The present study suggests that the spinocerebellar system originates from more diverse laminae than has previously been known, and further refined studies on the topographic projections of each tract will yield more important and valuable information in this field.
102406	In the guinea pig brain, LH-RH-containing cell bodies are located not only within the classical hypophysiotrophic area but also in the medial preoptic area, septum and olfactory tubercle. LH-RH fiber tracts project not only to the primary portal plexus in the median eminence but also throughout the limbic forebrain and limbic midbrain regions. Using radiofrequency lesions in different brain regions, the projections of LH-RH cell bodies were determined. Cells in the medial preoptic area project ot the organum vasculosum of the lamina terminalis (OVLT), the suprachiasmatic nucleus, the mammillary body complex and the ventral tegmental area. LH-RH neurons in both the medial septal nucleus and medial preoptic area project via the stria medullaris to the medial habenular nucleus and from there via the fasciculus retroflexus to the interpeduncular nucleus of the midbrain. Other LH-RH neurons in the medial septal nucleus, nucleus of the diagonal band of Broca and olfactory tubercle are congregated in small clusters around large blood vessels which penetrate into this area, and they do not appear to send axons outside their immediate vicinity. The types of LH-RH axonal terminations and the roles of these peptide-containing neurons are discussed.
114555	Subcortical projections of six visual cortical areas (Areas 17 and 18, the Middle Temporal, Dorsomedial and Medial Areas, and the Posterior Parietal Region) in the owl monkey, Aotus trivigatus, were investigated with autoradiographic methods following injections of tritiated proline. No contralateral projections were demonstrated. While some brainstem structures received input from all six subdivisions of cortex, each cortical area appeared to exhibit its own unique pattern of subcortical projections. All six cortical areas were found to project to the superior and inferior divisions of the pulvinar, reticular nucleus of the thalamus, pretectum and superior colliculus. Other subcortical targets of one or more visual cortical areas were the basal ganglia, claustrum, zona incerta, one or more of the intralaminar nuclei, lateral posterior nucleus, pregeniculate nucleus, dorsal lateral geniculate nucleus, and pontine nuclei. Furthermore, details of corticofugal projections to the dorsal lateral geniculate nucleus, pretectum and superior colliculus varied with the cortical area studied. The projections to the reticular nucleus, pregeniculate nucleus, dorsal lateral geniculate nucleus, the inferior and a portion of the superior division of the pulvinar and the superior colliculus were found to be topographically organized. The targets of the subcortical projections were compared with those of the retina, as revealed by autoradiographic methods following tritiated proline injections of the eye and were found to overlap to varying extents in the superior colliculus, pretectum and dorsal lateral geniculate nucleus and to be segregated in the pregeniculate nucleus. The results substantiate the validity of previous studies in the owl monkey that suggest that the visual cortex is subdivided into several functionally distinct areas; and illustrate the complexity of corticofugal influence on visual processing.
120544	The kinetics of synaptosomal tryptophan accumulation has been determined in five regions of the rat brain. For tryptophan concentrations ranging from 2.5 -- 20 microM, we found an active uptake in all the structures studied, i.e.: Corpus striatum, midbrain, brainstem, hypothalamus and cerebral cortex + hippocampus. The Vm of tryptophan uptake was highest in the cortex, followed in descending order by corpus striatum, hypothalamus, midbrain and brainstem, while the Km was highest in the cortex, then in descending order corpus striatum, brainstem, midbrain and hypothalamus. In spite of the possible nonspecific high affinity tryptophan uptake into serotoninergic neurons, we found a correlation between the Vm of tryptophan uptake and the different results in the literature concerning uptake and release of serotonin. These observations might indicate a correlation between the Vm of tryptophan uptake and the functional activity of serotonergic neurons.
191149	The localization of opiate receptors in the spinal cord and lower medulla has been elucidated by the autoradiographic identification of stereospecific [3H]diprenorphine (a potent opiate antagonist) binding sites. The opiate receptors were higly localized to: layers I (marginal cell zones) and II (substantia gelatinosa) of the dorsal horn of the spinal cord; the substantia gelationsa of the spinal trigeminal nucleus; components of the vagal system, including the vagus nerve, nucleus tractus solitarius, nucleus commissuralis, nucleus intercalatus, nucleus ambiguus and nucleus originis dorsalis vagus; the area postrema. Examination of [3H]etorphine (a potent opiate agonist) binding sites showed the same distribution. We conclude that, in these brain regions, opiate receptors are (1) highly associated with areas receiving small, afferent primary fibers, (2) strategically placed to modulate noxious stimuli as well as explain some visceral side effects of opiate administration.
194249	Using specific antisera to methionine-enkephalin and leucine-enkephalin, we have visualized apparent enkephalin-containing neuronal fibers and terminals throughout the central nervous system of the rat. Immunoreactive enkephalin displays sharply defined localizations. Regions of highest immunofluorescent density include the laminae I and II of the spinal cord, the substantia gelatinosa of the caudal nucleus of nerve V, the vagal nuclei of the medulla, the periventricular and periaqueductal areas of the upper medulla and midbrain, dorsomedial thalamic regions, specific hypothalamic nuclei, the basal ganglia, particularly the globus pallidus and the central nucleus of the amygdala, and the lateral septum. In certain regions enkephalin immunofluorescence corresponds closely with the distribution of autoradiographic opiate receptor grains.
197324	Dibutyrul cyclic AMP (dbcAMP) was injected intracerebroventricularly into rats in doses of 50, 100 or 200 microgram. Noradrenaline (NA), dopamine (DA), 5-hydroxytryptamine (5-HT) or 5-hydroxy indoleacetic acid (5-HIAA) concentrations were measured spectrophotofluorimetrically in discrete brain areas: cortex, hypothalamus, striatum, hippocampus with nucleus amygdala and nucleus accumbens (limbic system) and pons with medulla oblongata. DbcAMP (in each dosage administered) decreased, NA content of cortex and of pons with medulla oblongata. NA content in the hypothalamus and striatum was decreased only after the largest dose of dbcAMP. In the limbic system NA concentration was diminished after a dose of 100 or 200 microgram of dbcAMP. There was a decrease in DA level measured in the striatum alone after a dose of 100 microgram of dbcAMP. 5-HT concentration was increased in the striatum and the pons with medulla oblongata after each dose level of dbcAMP; in the cortex after a dose of 50 and 100 microgram; and in the hypothalamus after a dose of 200 microgram. 5-HIAA level was increased in the striatum, limbic system, pons with medulla oblongata after all doses of dbcAMP. We conclude that dbcAMP affects presynaptic central catecholaminergic and serotoninergic neurons in an opposite, manner, although discrete brain areas have a different susceptibility to dbcAMP action. These findings provide some explanation for the behavioural effects of dbcAMP.
220001	Within the first 10 ms after a sine-shaped sound wave (tone pip) seven small-amplitude potentials can be recorded in persons with normal hearing and normal brainstem functions. These components, in the nanovolt range, correspond to the electrical activity of various pathways of the auditory tract. In accordance with this view the resulting potentials were assigned to the following structures in the region of the periphery and the brainstem: component I corresponds to the cochlea or acoustic nerve (receptor, II to the cochlear nucleus (medulla), III to the upper olive (caudal pons), IV to the lateral lemniscus (rostral pons), V to the inferior colliculus (midbrain), VI to the medial geniculate body (diencephalon), VII to the acoustic radiation (cortex). Clinically well defined lesions of the acoustic nerve and brainstem indicate that there is a close topographical relationship between the clinical localisation and absence or delay of the individual components.
225691	The rates of disappearance of tritiated isethionic acid (2-hydroxyethanesulfonic acid) in eight regions of the rat central nervous system were studied. By utilizing the technique of graphical analysis ("curve peeling"), it was determined that seven areas (striatum, diencephalon, pons-medulla, midbrain, hippocampus, spinal cord, and cortex) exhibited triphasic (fast, intermediate, and slow) disappearance rates while only the cerebellum displayed a biphasic (fast, slow) rate. The half-lives for the fast component in the different regions of the central nervous system varied from 0.5 hr (midbrain and cortex) to 1.5 hr (diencephalon, cerebellum, and spinal cord): the half-lives for the intermediate component of the triphasic rate varied from 3.5 hr in the midbrain and spinal cord to 5.5 hr in the hippocampus. Half-lives estimated for the slow component of the multiphasic rate of disappearance of tritiated isethionic acid ([3H]ISA) varied from 28 hr (cerebellum) to 90 hr (spinal cord).
226233	Afferent projections to the locus coeruleus from the various raphe nuclei, particularly of the midbrain (nuclei raphe dorsalis and medianus) and pons (nuclei raphe pontis and magnus), have been studied in the rat by retrograde transport methods using horseradish peroxidase (HRP). The locus coeruleus, in both its dorsomedial and ventrolateral divisions, and in its various anterior-posterior components, were injected with 0.05 microliters of horseradish peroxidase following which various structures of the brainstem, particularly the raphe nuclei, were examined for HRP reactive cells. It was found that injections in most components of the locus coeruleus were associated with HRP positive cells in varying degrees of density in the nuclei raphe dorsalis, medianus, pontis, and magnus, with considerably sparser labelling in the anterior aspects of the medullary raphe nuclei pallidus and obscurus. Labelled cells were also seen in the nuclei of the solitary tract, contralateral locus coeruleus. lateral reticular areas of the pons and midbrain, nuclei pontis oralis and caudalis, vestibular nuclei, mesencephalic nucleus of the trigeminal nerve, fastigial nuclei of cerebellum and medial parabrachial nuclei. These data, showing widespread innervation of the locus coeruleus from all raphe nuclei, as well as many other brainstem areas, in the rat support the general view of heavy innervation of the locus coeruleus from both extra-raphe and raphe nulcei. These latter raphe projections, probably serotonergic in nature, provide anatomical support for the various experiments indicating considerable regulation of locus coeruleus activities, such as phasic events of REM sleep, among other, by widespread projections from most raphe nuclei was well as several other regions of the brainstem.
